Prowess_company_code,Company,year,roa,tq,DebtToEquity,SalesGrowth,FirmAge,NumPlants,Num_of_supplier,Num_of_supp_countries,Num_of_product,Num_of_plant,Num_of customers,SCC1,SCC2,SCC3,SCC4,SCC5,SCC6
388233,P G Electroplast Ltd.,2015,0.39,2.14,0.7,0.1036399634480658,12.0,3.0,50,5,20,3,11,14,14,14,14,22,23
388233,P G Electroplast Ltd.,2016,0.97,1.78,0.91,0.4070930794176499,13.0,3.0,50,5,30,3,12,14,14,14,14,22,23
33873,Bharat Petroleum Corpn. Ltd.,2016,9.28,2.93,0.78,0.1190033411577862,64.0,4.0,49,5,2,4,9,12,12,12,12,19,19
109856,Jindal Steel & Power Ltd.,2016,-1.45,0.28,1.16,0.0705244159940676,37.0,6.0,47,11,20,6,17,15,15,15,15,24,24
236460,Steel Authority Of India Ltd.,2013,2.4,0.69,0.59,0.0507319525413041,40.0,7.0,44,10,10,7,9,15,14,15,14,24,23
236460,Steel Authority Of India Ltd.,2014,2.03,0.74,0.69,-0.024447509122255,41.0,8.0,43,12,10,8,10,15,15,15,15,24,23
236460,Steel Authority Of India Ltd.,2015,-3.84,0.49,0.9,-0.1433640600932755,42.0,8.0,43,11,10,8,20,15,15,15,15,25,24
374518,Bajaj Auto Ltd.,2015,24.07,5.36,0.01,0.0603810011360919,8.0,3.0,42,9,5,3,8,12,11,12,11,19,17
236460,Steel Authority Of India Ltd.,2012,2.45,0.9,0.53,-0.0221338398173377,39.0,7.0,42,10,10,7,10,15,15,15,15,24,23
374518,Bajaj Auto Ltd.,2016,19.98,4.96,0.01,-0.0329766044953606,9.0,3.0,41,7,4,3,8,12,11,12,11,18,16
65899,Eicher Motors Ltd.,2016,4.79,1.24,0.58,0.0376552795031055,35.0,2.0,41,6,3,2,26,11,12,11,12,18,18
109856,Jindal Steel & Power Ltd.,2015,-2.53,0.78,1.12,-0.0448422114805592,36.0,6.0,41,6,21,6,11,15,15,15,15,23,23
92590,Hero Motocorp Ltd.,2016,22.98,5.67,0.0,0.0046526658209837,32.0,6.0,40,3,3,6,4,12,11,12,11,17,17
94160,Hindustan Unilever Ltd.,2012,3.48,0.54,0.72,0.122312032941894,54.0,25.0,40,13,10,25,11,15,15,14,14,24,23
65899,Eicher Motors Ltd.,2015,5.15,1.04,0.47,-0.0086588416394073,34.0,2.0,39,5,3,2,23,11,12,11,12,18,18
374518,Bajaj Auto Ltd.,2012,24.27,7.41,0.01,0.0320759913238715,5.0,3.0,38,8,4,3,9,12,12,12,12,19,18
93893,Hindalco Industries Ltd.,2013,-4.95,1.77,0.0,0.0,33.0,5.0,38,14,5,5,63,14,14,14,14,22,22
109856,Jindal Steel & Power Ltd.,2014,0.94,1.07,2.26,-0.0238422514589222,35.0,6.0,38,7,21,6,10,15,15,15,15,23,23
92590,Hero Motocorp Ltd.,2015,26.39,6.07,0.0,0.047569566958997,31.0,6.0,37,4,6,6,4,13,13,13,13,20,19
93893,Hindalco Industries Ltd.,2014,-0.9,2.7,0.0,-0.7413132602997514,34.0,5.0,37,13,5,5,64,14,14,14,14,22,23
368794,Pearl Global Inds. Ltd.,2015,2.26,1.8,0.51,0.2493808497635972,26.0,5.0,36,9,9,5,27,15,15,15,15,23,24
236460,Steel Authority Of India Ltd.,2016,-2.59,0.54,1.15,0.1348583879495986,43.0,8.0,36,9,5,8,18,14,13,14,13,22,22
246615,T V S Motor Co. Ltd.,2016,10.15,7.59,0.48,0.093516456977633,24.0,3.0,36,8,5,3,2,11,11,11,11,17,16
94160,Hindustan Unilever Ltd.,2013,3.73,0.37,0.81,0.1557956244054898,55.0,25.0,35,11,10,25,10,15,15,14,14,24,23
368794,Pearl Global Inds. Ltd.,2014,1.85,1.71,0.45,-0.0654101662307993,25.0,5.0,35,9,8,5,15,15,15,15,15,23,24
374518,Bajaj Auto Ltd.,2014,20.35,5.98,0.01,0.0644305094509791,7.0,3.0,34,9,4,3,4,11,11,11,11,18,17
93893,Hindalco Industries Ltd.,2015,0.38,2.5,0.0,0.054559625876851,35.0,5.0,34,10,5,5,67,13,13,13,12,21,22
109856,Jindal Steel & Power Ltd.,2013,3.12,1.82,1.87,-0.0680990699900034,34.0,6.0,34,4,20,6,9,15,14,15,14,23,23
368794,Pearl Global Inds. Ltd.,2013,2.78,1.04,0.44,0.1775929203539823,24.0,5.0,34,9,9,5,16,15,15,15,15,23,25
368794,Pearl Global Inds. Ltd.,2016,2.47,1.04,0.63,0.1194377582411925,27.0,5.0,34,9,9,5,28,15,15,15,15,23,24
93893,Hindalco Industries Ltd.,2016,-1.69,2.01,0.01,-0.0009854644000985,36.0,5.0,33,8,5,5,66,14,13,14,13,21,22
92590,Hero Motocorp Ltd.,2014,23.32,8.25,0.0,0.0786848930609598,30.0,6.0,32,4,3,6,3,12,12,12,12,18,17
374518,Bajaj Auto Ltd.,2013,22.71,5.33,0.01,0.0019696187607249,6.0,3.0,31,9,4,3,2,10,10,10,10,17,16
65899,Eicher Motors Ltd.,2014,2.99,0.71,0.63,0.1447136563876652,33.0,2.0,31,4,3,2,3,10,11,10,11,16,16
92590,Hero Motocorp Ltd.,2012,20.59,6.5,0.18,0.0125633048777002,28.0,6.0,31,4,3,6,8,13,12,13,12,19,19
94160,Hindustan Unilever Ltd.,2014,3.35,0.72,0.96,0.007465757451061,56.0,25.0,31,8,10,25,9,15,14,14,13,24,23
109874,J S W Steel Ltd.,2012,3.43,0.93,0.93,0.1193760390465406,18.0,3.0,31,8,9,3,23,14,14,14,14,22,22
109874,J S W Steel Ltd.,2013,2.11,1.22,1.19,0.2688486537631929,19.0,3.0,31,9,8,3,30,14,14,14,14,22,21
97066,I T C Ltd.,2016,19.17,6.27,0.0,0.0674544038000506,106.0,17.0,30,8,11,17,22,15,15,15,15,25,25
246615,T V S Motor Co. Ltd.,2015,10.35,6.89,0.48,0.1252580265090246,23.0,3.0,30,7,5,3,3,11,11,11,11,18,16
92590,Hero Motocorp Ltd.,2013,20.37,6.31,0.05,0.0513249846516423,29.0,6.0,29,4,3,6,4,12,12,12,12,18,18
97066,I T C Ltd.,2012,23.26,9.32,0.0,0.1954697907974498,102.0,17.0,29,7,8,17,14,15,14,15,14,24,24
97066,I T C Ltd.,2014,22.83,8.8,0.0,0.0705426923137391,104.0,17.0,28,9,8,17,27,15,14,15,14,24,24
109874,J S W Steel Ltd.,2016,4.32,1.78,1.64,0.4052904879367689,22.0,3.0,28,9,9,3,27,14,14,14,14,22,22
109856,Jindal Steel & Power Ltd.,2012,4.31,3.5,1.66,0.1454387215681112,33.0,6.0,28,4,21,6,7,15,14,15,14,23,23
210673,Sanghvi Forging & Engg. Ltd.,2013,-3.92,0.46,1.31,0.2009609358679758,24.0,1.0,28,3,3,1,36,11,11,11,11,16,16
62987,Dr. Reddy'S Laboratories Ltd.,2016,8.1,4.53,0.2,-0.0555874036863941,32.0,6.0,27,7,7,6,12,14,14,14,14,22,22
94160,Hindustan Unilever Ltd.,2015,5.2,0.59,0.86,-0.0617633329443342,57.0,25.0,27,7,12,25,9,15,14,13,12,24,24
97066,I T C Ltd.,2013,23.49,8.88,0.0,0.1178741214629628,103.0,17.0,27,8,8,17,27,15,14,15,13,24,24
97066,I T C Ltd.,2015,19.75,7.0,0.0,0.0308710173111161,105.0,17.0,27,8,8,17,23,14,14,14,14,24,23
109874,J S W Steel Ltd.,2014,2.64,1.0,1.17,0.022271435709152,20.0,3.0,27,9,8,3,32,14,14,14,14,22,21
109874,J S W Steel Ltd.,2015,-5.08,1.19,1.82,-0.1963397522409223,21.0,3.0,27,9,8,3,37,13,14,13,14,22,21
210673,Sanghvi Forging & Engg. Ltd.,2012,0.6,0.69,1.01,-0.1075689783743475,23.0,1.0,27,3,3,1,24,11,11,11,11,16,16
210673,Sanghvi Forging & Engg. Ltd.,2014,-3.7,1.07,2.57,0.6381979474691251,25.0,1.0,27,3,3,1,39,11,11,11,11,16,16
244056,Suzlon Energy Ltd.,2012,-15.95,0.99,3.2,-0.7448090000130967,17.0,14.0,27,11,3,14,90,13,13,13,13,21,21
62987,Dr. Reddy'S Laboratories Ltd.,2015,7.52,4.39,0.26,0.0196158075669463,31.0,6.0,26,9,7,6,14,14,14,14,14,22,23
94160,Hindustan Unilever Ltd.,2016,2.67,0.54,0.62,-0.0928822413632265,58.0,25.0,26,7,11,25,8,15,14,14,13,24,24
65899,Eicher Motors Ltd.,2013,3.96,0.5,0.79,0.0841791044776119,32.0,2.0,25,3,3,2,7,11,12,11,12,16,16
65899,Eicher Motors Ltd.,2012,6.0,0.58,0.67,0.2780405920952236,31.0,2.0,24,4,2,2,7,11,12,11,12,17,17
203025,S K F India Ltd.,2015,12.53,3.98,0.04,0.2591300220956649,54.0,3.0,24,5,7,3,22,13,13,13,13,21,22
244056,Suzlon Energy Ltd.,2013,-17.03,2.15,3.63,0.7476150016821865,18.0,14.0,24,11,3,14,95,13,13,13,13,21,21
216946,Vedanta Ltd.,2016,5.44,0.82,0.58,0.0597705200160878,51.0,9.0,24,5,11,9,10,15,15,14,14,24,24
265397,Videocon Industries Ltd.,2012,-0.42,0.66,2.32,0.4532624016310267,26.0,3.0,24,7,4,3,4,11,11,11,11,18,17
47858,Cipla Ltd.,2016,7.88,3.63,0.03,-0.0943095750272503,81.0,8.0,23,4,17,8,9,15,15,15,15,24,24
62987,Dr. Reddy'S Laboratories Ltd.,2012,9.93,4.08,0.27,0.2381050706468834,28.0,6.0,23,8,4,6,99,13,13,13,13,21,20
62987,Dr. Reddy'S Laboratories Ltd.,2013,12.39,4.66,0.29,0.1686083911085698,29.0,6.0,23,8,4,6,95,13,13,13,13,21,20
69140,Escorts Ltd.,2016,5.1,1.9,0.13,0.2119235520674369,72.0,2.0,23,2,5,2,16,11,12,11,12,17,17
203025,S K F India Ltd.,2016,10.83,3.73,0.02,-0.1209878984296073,55.0,3.0,23,4,7,3,24,13,13,13,13,22,22
216946,Vedanta Ltd.,2014,2.28,1.81,1.11,0.1414788813495913,49.0,9.0,23,5,17,9,9,15,14,13,13,24,24
216946,Vedanta Ltd.,2015,10.13,0.75,0.54,0.1070735210671283,50.0,9.0,23,5,18,9,10,15,14,13,12,24,24
24685,Aurobindo Pharma Ltd.,2015,14.05,7.78,0.61,0.128888942706473,29.0,10.0,22,3,8,10,21,14,14,14,14,23,23
52418,C G Power & Indl. Solutions Ltd.,2016,3.36,0.87,0.32,0.1237064053948031,79.0,8.0,22,4,12,8,123,15,15,15,15,25,25
62987,Dr. Reddy'S Laboratories Ltd.,2014,9.41,5.3,0.29,0.0289398572884811,30.0,6.0,22,8,4,6,95,13,13,13,13,21,21
28981,Force Motors Ltd.,2016,7.12,3.1,0.12,0.0124079313557017,58.0,3.0,22,4,6,3,4,12,12,12,12,19,19
203025,S K F India Ltd.,2014,11.27,5.01,0.0,0.050913699358162,53.0,3.0,22,5,4,3,13,12,12,12,12,20,21
24685,Aurobindo Pharma Ltd.,2014,16.07,6.38,0.61,0.1359537934819539,28.0,10.0,21,4,7,10,17,14,15,14,15,24,24
396292,Brooks Laboratories Ltd.,2012,6.16,0.36,0.01,0.4284950071326678,10.0,1.0,21,3,1,1,12,11,11,11,11,16,16
396292,Brooks Laboratories Ltd.,2013,5.63,0.29,0.0,0.0644114342778678,11.0,1.0,21,3,1,1,12,11,11,11,11,16,16
396292,Brooks Laboratories Ltd.,2014,5.13,0.61,0.0,-0.0007036472381846,12.0,1.0,21,3,1,1,11,11,11,11,11,15,16
396292,Brooks Laboratories Ltd.,2015,7.22,1.27,0.05,-0.0610257012087782,13.0,1.0,21,3,1,1,12,11,11,11,11,15,16
396292,Brooks Laboratories Ltd.,2016,1.05,1.73,0.11,-0.1896012998375204,14.0,2.0,21,3,2,2,12,11,12,11,12,16,17
41246,Cadila Healthcare Ltd.,2012,9.27,6.53,0.61,0.1262648322049937,17.0,4.0,21,5,6,4,12,13,13,13,13,22,22
244056,Suzlon Energy Ltd.,2015,2.72,16.27,10.84,1.6174117957979122,20.0,14.0,21,10,5,14,75,13,14,13,14,22,22
295606,Ujaas Energy Ltd.,2013,9.56,1.68,0.81,1.1399048045238196,14.0,8.0,21,2,5,8,49,13,13,13,13,21,21
295606,Ujaas Energy Ltd.,2014,2.52,1.94,0.63,-0.7936351019942587,15.0,8.0,21,2,5,8,53,13,13,13,13,21,20
24685,Aurobindo Pharma Ltd.,2013,14.77,3.11,0.73,0.3053182511895143,27.0,10.0,20,5,7,10,14,14,14,14,14,24,24
41246,Cadila Healthcare Ltd.,2014,17.83,7.19,0.32,0.3468685664752411,19.0,4.0,20,5,6,4,10,13,13,13,13,21,22
47858,Cipla Ltd.,2015,8.81,4.16,0.09,0.1849216692951263,80.0,8.0,20,5,17,8,9,15,15,15,15,24,24
66185,Eimco Elecon (India) Ltd.,2012,15.94,12.46,0.03,0.5897218977023997,30.0,1.0,20,2,7,1,4,10,10,9,9,16,16
28981,Force Motors Ltd.,2014,5.09,1.11,0.02,0.1413294425610436,56.0,1.0,20,4,5,1,1,10,10,10,10,15,15
28981,Force Motors Ltd.,2015,8.16,2.87,0.01,0.2996721360785668,57.0,2.0,20,4,8,2,2,10,11,10,11,18,18
126425,Lakshmi Precision Screws Ltd.,2014,0.08,0.64,3.63,0.0587962485829125,46.0,2.0,20,5,4,2,8,11,10,11,10,18,18
130382,Lupin Ltd.,2012,19.12,5.64,0.14,0.3216437606736506,29.0,10.0,20,6,10,10,7,15,15,15,15,24,24
244056,Suzlon Energy Ltd.,2016,6.62,23.43,6.14,0.5559067096802424,21.0,14.0,20,9,4,14,43,13,13,13,13,21,21
246615,T V S Motor Co. Ltd.,2014,8.28,7.62,0.59,0.2407544049874885,22.0,3.0,20,5,5,3,1,11,11,11,10,17,16
295606,Ujaas Energy Ltd.,2012,13.13,4.21,0.2,5.924225352112676,13.0,8.0,20,1,4,8,49,11,11,11,11,18,18
295606,Ujaas Energy Ltd.,2015,4.4,2.38,0.54,1.4746199907876552,16.0,8.0,20,2,5,8,50,12,13,12,13,20,20
295606,Ujaas Energy Ltd.,2016,6.71,4.25,0.59,0.8105129923311742,17.0,8.0,20,2,7,8,50,13,13,13,13,22,21
69140,Escorts Ltd.,2015,0.73,1.15,0.2,-0.1529899252518687,71.0,2.0,19,2,15,2,16,12,13,11,12,20,20
28981,Force Motors Ltd.,2013,3.73,0.42,0.04,0.0237002218463768,55.0,1.0,19,4,5,1,1,10,10,10,10,15,15
126425,Lakshmi Precision Screws Ltd.,2015,-1.53,0.98,4.07,-0.1696598043510001,47.0,2.0,19,5,4,2,8,11,10,11,10,18,17
130382,Lupin Ltd.,2013,29.07,6.17,0.02,0.2554672357421148,30.0,11.0,19,7,10,11,8,15,15,15,15,24,24
265397,Videocon Industries Ltd.,2013,-0.03,0.54,2.34,0.0386298439765269,27.0,3.0,19,8,4,3,4,11,12,10,12,18,17
24685,Aurobindo Pharma Ltd.,2016,13.12,5.1,0.36,0.0491753515053481,30.0,10.0,18,3,4,10,20,13,13,13,13,20,21
33723,B E M L Ltd.,2013,-0.27,0.49,0.46,0.0404377561330207,49.0,4.0,18,4,9,4,8,14,15,13,14,22,23
52418,C G Power & Indl. Solutions Ltd.,2015,-13.49,2.52,0.14,-0.0703776541939628,78.0,8.0,18,4,12,8,99,15,15,15,15,25,25
41246,Cadila Healthcare Ltd.,2013,14.38,4.59,0.44,0.1930323498044792,18.0,4.0,18,5,6,4,11,13,13,13,13,21,22
47858,Cipla Ltd.,2013,10.33,3.23,0.09,0.1520166606808413,78.0,8.0,18,6,10,8,9,15,15,15,15,24,25
47858,Cipla Ltd.,2014,7.56,4.55,0.13,0.0699957734926852,79.0,8.0,18,6,10,8,9,15,15,15,15,24,24
28981,Force Motors Ltd.,2012,0.77,0.52,0.06,-0.0391742220871531,54.0,1.0,18,3,5,1,1,10,10,10,10,14,14
83013,Godrej Consumer Products Ltd.,2015,12.1,11.53,0.0,0.040070679192165,15.0,9.0,18,4,4,9,8,13,13,12,12,21,21
83013,Godrej Consumer Products Ltd.,2016,12.32,12.41,0.03,0.0403975148168516,16.0,9.0,18,4,4,9,6,12,13,11,12,20,21
83018,Godrej Industries Ltd.,2013,2.56,5.51,0.99,-0.0231074190294743,25.0,4.0,18,2,8,4,9,13,14,13,14,20,21
94080,Hindustan Zinc Ltd.,2015,29.1,27.66,0.0,0.0235185248570966,82.0,10.0,18,5,8,10,4,13,13,11,11,22,22
126425,Lakshmi Precision Screws Ltd.,2012,0.71,0.4,2.26,-0.0534584450402144,44.0,2.0,18,4,3,2,12,11,11,11,11,18,19
126425,Lakshmi Precision Screws Ltd.,2013,-6.1,0.43,3.51,0.099303234577692,45.0,2.0,18,4,3,2,12,11,11,11,11,18,18
203025,S K F India Ltd.,2013,10.17,2.76,0.0,0.0140325422323557,52.0,3.0,18,5,4,3,13,12,12,12,12,20,21
239726,Sun Pharmaceutical Inds. Ltd.,2016,-0.73,7.11,0.29,0.0075395484524967,23.0,18.0,18,7,5,18,17,14,14,14,14,22,22
216946,Vedanta Ltd.,2013,-0.75,4.09,1.17,11.28524579438488,48.0,9.0,18,5,20,9,7,15,14,13,12,24,24
23354,A C C Ltd.,2016,4.81,2.77,0.01,-0.0601834460187225,80.0,17.0,17,3,6,17,5,13,13,13,13,20,20
24685,Aurobindo Pharma Ltd.,2012,7.6,1.95,0.95,0.2719441481890867,26.0,10.0,17,5,7,10,12,14,15,14,15,24,24
33727,Bharat Electronics Ltd.,2012,4.86,1.76,0.0,0.0527231620100747,58.0,8.0,17,5,11,8,5,14,14,13,12,24,23
54885,Dabur India Ltd.,2014,18.77,16.72,0.06,0.117424756686437,39.0,11.0,17,4,2,11,2,11,11,11,11,18,18
85447,Grasim Industries Ltd.,2014,3.7,2.75,0.1,0.1296579299099798,67.0,9.0,17,2,5,9,6,12,13,12,13,20,20
130382,Lupin Ltd.,2014,23.79,7.15,0.01,0.0965896116655176,31.0,11.0,17,7,10,11,9,15,15,15,15,24,24
160802,Nitco Ltd.,2013,-13.54,0.62,13.43,-0.0394681468169565,47.0,3.0,17,2,4,3,12,11,11,11,11,18,18
246615,T V S Motor Co. Ltd.,2013,6.99,2.52,0.37,0.1030348497604802,21.0,3.0,17,5,5,3,3,12,12,12,11,19,17
265397,Videocon Industries Ltd.,2014,-0.03,0.52,2.34,0.0,28.0,3.0,17,8,6,3,4,12,12,11,12,19,18
33723,B E M L Ltd.,2014,-0.59,1.72,0.31,-0.0387891801807576,50.0,4.0,16,4,8,4,8,14,15,13,14,22,22
33723,B E M L Ltd.,2015,1.06,2.67,0.27,0.0961165922571911,51.0,4.0,16,4,8,4,8,13,14,12,13,22,22
33723,B E M L Ltd.,2016,1.12,2.08,0.2,-0.1375355900031636,52.0,4.0,16,4,8,4,7,13,15,12,14,22,22
54885,Dabur India Ltd.,2012,19.28,12.94,0.15,0.1607808527734235,37.0,11.0,16,6,2,11,3,12,12,12,12,19,19
54885,Dabur India Ltd.,2013,19.09,14.48,0.02,0.120023149461548,38.0,11.0,16,4,2,11,3,12,12,12,12,19,19
69140,Escorts Ltd.,2014,-0.48,0.85,0.27,-0.3677771240181932,70.0,2.0,16,4,15,2,16,13,14,12,13,22,22
83018,Godrej Industries Ltd.,2015,0.52,7.24,1.51,-0.073667667214136,27.0,4.0,16,3,9,4,9,14,14,14,14,21,21
