index,year,Company,ProductGroup,NumCustomers,Spatial,NumPlants,SalesGrowth,TotalAsset,roa,FirmAge,PromoterOwn,Horizontal1,scores_pred,anomaly_score_pred
25,2014,Maruti Suzuki India Ltd.,5.0,8.0,13.0,2.0,0.1255977845331386,426831.0,9.15,33.0,56.21,85.0,-0.08050055179112908,-1
26,2011,Mahindra & Mahindra Ltd.,12.0,18.0,12.0,9.0,0.3449757891530081,240519.2,12.44,66.0,25.34,84.0,-0.13368560883830932,-1
30,2014,Bosch Ltd.,7.0,36.0,19.0,8.0,0.3642227682921661,123785.0,11.49,63.0,71.18,81.0,-0.12520983367357413,-1
31,2015,Indian Oil Corpn. Ltd.,11.0,11.0,17.0,9.0,-0.0289953716308195,1291.1,-4.56,60.0,57.35,81.0,-0.07472126312630217,-1
32,2013,Bosch Ltd.,7.0,33.0,19.0,8.0,0.0129934228173518,107954.0,9.22,62.0,71.18,79.0,-0.10846365067690694,-1
33,2016,Indian Oil Corpn. Ltd.,13.0,13.0,13.0,9.0,-0.211972522080471,1430.0,-2.79,61.0,57.35,79.0,-0.08136899564683547,-1
35,2011,Indian Oil Corpn. Ltd.,18.0,24.0,15.0,9.0,0.2165725047080979,1230.8,7.97,56.0,57.35,76.0,-0.1137566964881705,-1
36,2016,Ashok Leyland Ltd.,11.0,18.0,12.0,6.0,0.0676917895693181,150227.0,8.61,68.0,50.38,74.0,-0.04990943191244679,-1
37,2014,Indian Oil Corpn. Ltd.,11.0,10.0,18.0,9.0,-0.0322750625741009,1215.6,-3.3,59.0,57.35,74.0,-0.07136494092768192,-1
38,2015,Ashok Leyland Ltd.,9.0,17.0,12.0,6.0,0.3765841272921708,132061.2,4.85,67.0,50.38,73.0,-0.06243422156756784,-1
39,2013,Indian Oil Corpn. Ltd.,18.0,11.0,17.0,9.0,0.1224308738725419,1322.5,1.26,58.0,57.35,73.0,-0.11257269218179228,-1
40,2012,Bharat Petroleum Corpn. Ltd.,2.0,11.0,13.0,4.0,0.1265111484933043,679703.1,4.0,60.0,54.93,71.0,-0.11649747956696338,-1
41,2012,T D Power Systems Ltd.,7.0,19.0,10.0,1.0,-0.3075696966910356,6812.9,4.6,13.0,64.47,71.0,-0.024785537520648937,-1
42,2013,T D Power Systems Ltd.,5.0,20.0,10.0,1.0,-0.1509772239314725,7469.2,4.79,14.0,62.07,71.0,-0.02236593577958662,-1
44,2012,Bosch Ltd.,7.0,30.0,17.0,7.0,0.0730025328114207,79370.0,11.95,61.0,71.18,70.0,-0.09837577386765645,-1
45,2011,T D Power Systems Ltd.,7.0,19.0,10.0,1.0,0.2616404981050351,6859.1,8.69,12.0,65.59,70.0,-0.027621377123391633,-1
46,2014,T D Power Systems Ltd.,5.0,20.0,10.0,1.0,0.1142134626414306,7708.5,1.76,15.0,54.05,70.0,-0.006966392552831657,-1
47,2015,T D Power Systems Ltd.,5.0,19.0,10.0,1.0,0.1541215283464752,7644.1,1.93,16.0,54.05,70.0,-0.0074075679977949616,-1
48,2016,T D Power Systems Ltd.,5.0,19.0,10.0,1.0,-0.1894132911649029,7461.0,0.05,17.0,54.05,70.0,-0.014145159769155757,-1
49,2013,Maruti Suzuki India Ltd.,5.0,5.0,12.0,2.0,-0.004753423791192,386163.0,7.39,32.0,56.21,67.0,-0.05781933883603507,-1
50,2013,Ashok Leyland Ltd.,8.0,14.0,10.0,6.0,-0.2172120980959249,130310.4,-1.44,65.0,40.89,66.0,-0.035143597238341096,-1
51,2010,Mahindra & Mahindra Ltd.,19.0,13.0,8.0,9.0,0.2521077538276888,198109.7,14.55,65.0,22.76,65.0,-0.11853217172133451,-1
53,2012,Ashok Leyland Ltd.,8.0,11.0,10.0,6.0,-0.0174994945905339,131574.9,3.83,64.0,38.61,64.0,-0.021565468109284502,-1
55,2011,Maruti Suzuki India Ltd.,5.0,4.0,12.0,2.0,-0.0301578854000355,287871.0,5.66,30.0,54.21,63.0,-0.04180103601909596,-1
57,2014,Ashok Leyland Ltd.,8.0,14.0,10.0,6.0,0.359202110949405,134180.3,-0.27,66.0,38.82,61.0,-0.05582119345283382,-1
60,2011,Ashok Leyland Ltd.,8.0,11.0,7.0,6.0,0.1455387733825663,119420.5,5.66,63.0,38.61,58.0,-0.008212708550120018,-1
61,2011,Bharat Petroleum Corpn. Ltd.,7.0,12.0,11.0,4.0,0.3624207195280708,666544.4,1.61,59.0,54.93,58.0,-0.1057935797691551,-1
62,2014,Bharat Petroleum Corpn. Ltd.,2.0,9.0,11.0,4.0,-0.0656588495018719,711166.8,6.0,62.0,54.93,58.0,-0.11030770165182596,-1
63,2015,Bharat Petroleum Corpn. Ltd.,2.0,9.0,8.0,4.0,-0.1459343366599165,769651.5,9.58,63.0,54.93,58.0,-0.10754297612701352,-1
66,2013,Bharat Petroleum Corpn. Ltd.,2.0,11.0,11.0,4.0,0.0813988040499302,737278.5,5.46,61.0,54.93,55.0,-0.1085337965584981,-1
68,2010,Indian Oil Corpn. Ltd.,17.0,22.0,10.0,9.0,0.0838745592874374,1194.5,0.5,55.0,57.35,54.0,-0.06362902761259587,-1
69,2011,Bosch Ltd.,14.0,24.0,15.0,7.0,0.214877847850746,71576.0,14.18,60.0,71.18,52.0,-0.1179292144469572,-1
70,2010,Bharat Petroleum Corpn. Ltd.,6.0,11.0,6.0,4.0,0.2419235569474978,571988.2,2.3,58.0,54.93,51.0,-0.04624949512517851,-1
71,2013,Hindustan Petroleum Corpn. Ltd.,7.0,16.0,7.0,2.0,-0.6184574102764777,3692.4,-44.13,53.0,58.78,51.0,-0.1072366272273379,-1
72,2011,P G Electroplast Ltd.,20.0,6.0,5.0,3.0,-0.4813021553839975,2897.9,-3.81,8.0,65.0,50.0,-0.060974572963003015,-1
73,2012,P G Electroplast Ltd.,26.0,6.0,5.0,3.0,0.384995913451198,2970.8,-1.62,9.0,65.0,50.0,-0.07799761201896932,-1
74,2013,P G Electroplast Ltd.,29.0,6.0,5.0,3.0,-0.2551790539491256,2948.0,-6.62,10.0,65.0,50.0,-0.0855691076093203,-1
75,2014,P G Electroplast Ltd.,17.0,15.0,5.0,3.0,0.0952003669571746,2821.3,-1.54,11.0,65.0,50.0,-0.01557101629229729,-1
76,2015,P G Electroplast Ltd.,20.0,11.0,5.0,3.0,0.1036399634480658,3033.2,0.39,12.0,65.0,50.0,-0.024339083955650653,-1
77,2016,P G Electroplast Ltd.,30.0,12.0,5.0,3.0,0.4070930794176499,3515.7,0.97,13.0,65.0,50.0,-0.08333750903528653,-1
78,2016,Bharat Petroleum Corpn. Ltd.,2.0,9.0,5.0,4.0,0.1190033411577862,942077.1,9.28,64.0,54.93,49.0,-0.08477265504172499,-1
79,2012,Hindustan Petroleum Corpn. Ltd.,7.0,18.0,6.0,2.0,0.0302446890786722,4352.9,-29.57,52.0,58.78,49.0,-0.03049214939942002,-1
80,2010,Maruti Suzuki India Ltd.,7.0,5.0,5.0,2.0,0.2591333267149807,246588.0,9.69,29.0,54.21,49.0,0.012925413767811977,1
82,2016,Jindal Steel & Power Ltd.,20.0,17.0,11.0,6.0,0.0705244159940676,684075.8,-1.45,37.0,61.89,47.0,-0.13998382354898492,-1
83,2014,Hindustan Petroleum Corpn. Ltd.,7.0,15.0,7.0,2.0,-0.288680509042197,3175.2,-51.78,54.0,58.78,45.0,-0.10450984403766211,-1
84,2015,Hindustan Petroleum Corpn. Ltd.,1.0,15.0,6.0,2.0,-0.278837099811676,2613.2,-58.16,55.0,58.78,45.0,-0.11652308215524648,-1
85,2010,Ashok Leyland Ltd.,6.0,10.0,4.0,6.0,0.5353275312045096,106173.8,7.32,62.0,38.61,44.0,-0.0009905827113919075,-1
86,2013,Steel Authority Of India Ltd.,10.0,9.0,10.0,7.0,0.0507319525413041,936959.4,2.4,40.0,80.0,44.0,-0.16175571089969837,-1
87,2014,Steel Authority Of India Ltd.,10.0,10.0,12.0,8.0,-0.024447509122255,1016914.6,2.03,41.0,75.0,43.0,-0.15596811078198497,-1
88,2015,Steel Authority Of India Ltd.,10.0,20.0,11.0,8.0,-0.1433640600932755,1068880.3,-3.84,42.0,75.0,43.0,-0.1785469925618332,-1
89,2015,Bajaj Auto Ltd.,5.0,8.0,9.0,3.0,0.0603810011360919,166186.5,24.07,8.0,49.3,42.0,-0.06469763756831864,-1
90,2016,Hindustan Petroleum Corpn. Ltd.,1.0,8.0,4.0,2.0,0.3052880692018931,18398.7,-68.75,56.0,58.78,42.0,-0.08461160382324068,-1
91,2012,Steel Authority Of India Ltd.,10.0,10.0,10.0,7.0,-0.0221338398173377,856740.4,2.45,39.0,85.82,42.0,-0.1563298176425399,-1
92,2016,Bajaj Auto Ltd.,4.0,8.0,7.0,3.0,-0.0329766044953606,210015.2,19.98,9.0,49.31,41.0,-0.0463012822731107,-1
93,2016,Eicher Motors Ltd.,3.0,26.0,6.0,2.0,0.0376552795031055,508.0,4.79,35.0,66.14,41.0,0.015304243032862153,1
94,2015,Jindal Steel & Power Ltd.,21.0,11.0,6.0,6.0,-0.0448422114805592,682279.7,-2.53,36.0,61.89,41.0,-0.12241340131716821,-1
95,2016,Hero Motocorp Ltd.,3.0,4.0,3.0,6.0,0.0046526658209837,158624.0,22.98,32.0,34.64,40.0,-0.013069475198766334,-1
96,2011,Hindalco Industries Ltd.,5.0,59.0,12.0,5.0,0.0835696729060315,584.0,-17.69,31.0,30.3,40.0,-0.0854929080714128,-1
97,2012,Hindalco Industries Ltd.,5.0,60.0,14.0,5.0,0.2981155121270284,305.3,-4.95,32.0,30.36,40.0,-0.09251446593390894,-1
98,2011,Hindustan Petroleum Corpn. Ltd.,6.0,9.0,4.0,2.0,-0.1787702702702702,4935.1,-15.52,51.0,58.78,40.0,0.044998818715755895,1
99,2012,Hindustan Unilever Ltd.,10.0,11.0,13.0,25.0,0.122312032941894,2120.9,3.48,54.0,39.05,40.0,-0.13248196105022242,-1
100,2015,Eicher Motors Ltd.,3.0,23.0,5.0,2.0,-0.0086588416394073,431.9,5.15,34.0,62.41,39.0,0.03867558266277582,1
101,2012,Bajaj Auto Ltd.,4.0,9.0,8.0,3.0,0.0320759913238715,126368.7,24.27,5.0,50.02,38.0,-0.04820465553074332,-1
102,2013,Hindalco Industries Ltd.,5.0,63.0,14.0,5.0,0.0,305.3,-4.95,33.0,48.24,38.0,-0.08099759715091265,-1
103,2014,Jindal Steel & Power Ltd.,21.0,10.0,7.0,6.0,-0.0238422514589222,483577.8,0.94,35.0,61.1,38.0,-0.09954718504371235,-1
104,2015,Hero Motocorp Ltd.,6.0,4.0,4.0,6.0,0.047569566958997,136055.1,26.39,31.0,34.64,37.0,-0.012184377885003983,-1
105,2014,Hindalco Industries Ltd.,5.0,64.0,13.0,5.0,-0.7413132602997514,251.3,-0.9,34.0,48.24,37.0,-0.11056433094055068,-1
106,2010,Hindustan Petroleum Corpn. Ltd.,7.0,9.0,3.0,2.0,0.4187388561897276,5219.8,5.3,50.0,58.78,37.0,0.06327142514970702,1
107,2011,Steel Authority Of India Ltd.,11.0,7.0,9.0,7.0,0.0717112117368816,775881.9,3.71,38.0,85.82,37.0,-0.14598349657139026,-1
108,2011,Hindustan Unilever Ltd.,10.0,5.0,11.0,25.0,-0.160166506564201,2022.8,2.69,53.0,38.04,36.0,-0.12104906342479388,-1
109,2015,Pearl Global Inds. Ltd.,9.0,27.0,9.0,5.0,0.2493808497635972,6030.9,2.26,26.0,66.58,36.0,-0.015574182259222857,-1
110,2016,Steel Authority Of India Ltd.,5.0,18.0,9.0,8.0,0.1348583879495986,1147180.7,-2.59,43.0,75.0,36.0,-0.13497670603095452,-1
111,2016,T V S Motor Co. Ltd.,5.0,2.0,8.0,3.0,0.093516456977633,60531.5,10.15,24.0,57.4,36.0,0.032385095134318864,1
112,2013,Hindustan Unilever Ltd.,10.0,10.0,11.0,25.0,0.1557956244054898,2429.2,3.73,55.0,39.25,35.0,-0.12307837260716264,-1
113,2014,Pearl Global Inds. Ltd.,8.0,15.0,9.0,5.0,-0.0654101662307993,5669.3,1.85,25.0,66.58,35.0,0.006794415637317253,1
114,2014,Bajaj Auto Ltd.,4.0,4.0,9.0,3.0,0.0644305094509791,157037.7,20.35,7.0,50.02,34.0,-0.051625287986945656,-1
115,2015,Hindalco Industries Ltd.,5.0,67.0,10.0,5.0,0.054559625876851,217.2,0.38,35.0,48.24,34.0,-0.04555446486906489,-1
116,2013,Jindal Steel & Power Ltd.,20.0,9.0,4.0,6.0,-0.0680990699900034,435641.2,3.12,34.0,59.67,34.0,-0.06810043838698615,-1
117,2013,Pearl Global Inds. Ltd.,9.0,16.0,9.0,5.0,0.1775929203539823,5370.8,2.78,24.0,66.58,34.0,0.0024663205486071815,1
118,2016,Pearl Global Inds. Ltd.,9.0,28.0,9.0,5.0,0.1194377582411925,7137.4,2.47,27.0,66.58,34.0,-0.0072739292199081595,-1
119,2011,Hero Motocorp Ltd.,3.0,8.0,5.0,6.0,0.2078616594567015,99046.7,23.15,27.0,52.21,33.0,0.0019437784603694164,1
120,2016,Hindalco Industries Ltd.,5.0,66.0,8.0,5.0,-0.0009854644000985,254.8,-1.69,36.0,48.24,33.0,-0.03524373181119922,-1
121,2010,Steel Authority Of India Ltd.,12.0,8.0,8.0,7.0,0.0744353345867836,773397.2,6.3,37.0,85.82,33.0,-0.148557975413471,-1
122,2011,Bajaj Auto Ltd.,4.0,10.0,6.0,3.0,0.1815670468064678,112451.4,28.58,4.0,50.02,32.0,-0.05346068313043484,-1
123,2014,Hero Motocorp Ltd.,3.0,3.0,4.0,6.0,0.0786848930609598,105391.1,23.32,30.0,39.92,32.0,0.0024341308570079434,1
124,2013,Bajaj Auto Ltd.,4.0,2.0,9.0,3.0,0.0019696187607249,148953.7,22.71,6.0,50.02,31.0,-0.0683923669760142,-1
125,2010,Bosch Ltd.,14.0,19.0,11.0,7.0,0.3998277060430146,73380.7,11.27,59.0,71.18,31.0,-0.08326460188153523,-1
126,2014,Eicher Motors Ltd.,3.0,3.0,4.0,2.0,0.1447136563876652,445.9,2.99,33.0,59.41,31.0,0.07979169557659305,1
127,2010,Hero Motocorp Ltd.,4.0,8.0,5.0,6.0,0.2147340923828729,107411.8,20.96,26.0,52.21,31.0,0.012857687603327284,1
128,2012,Hero Motocorp Ltd.,3.0,8.0,4.0,6.0,0.0125633048777002,107308.3,20.59,28.0,52.21,31.0,0.020780497253198915,1
129,2014,Hindustan Unilever Ltd.,10.0,9.0,8.0,25.0,0.007465757451061,2691.0,3.35,56.0,40.2,31.0,-0.11139733776398558,-1
130,2012,J S W Steel Ltd.,9.0,23.0,8.0,3.0,0.1193760390465406,547063.0,3.43,18.0,38.05,31.0,-0.09769070687769882,-1
131,2013,J S W Steel Ltd.,8.0,30.0,9.0,3.0,0.2688486537631929,716765.3,2.11,19.0,37.31,31.0,-0.12047824389396528,-1
132,2010,Bajaj Auto Ltd.,6.0,10.0,3.0,3.0,0.397768695281905,94194.8,27.23,3.0,49.66,30.0,-0.025551338806626744,-1
133,2010,Hindustan Unilever Ltd.,13.0,7.0,9.0,25.0,0.0554954711369473,2197.5,5.22,52.0,37.0,30.0,-0.1206907727803877,-1
134,2015,T V S Motor Co. Ltd.,5.0,3.0,7.0,3.0,0.1252580265090246,50358.1,10.35,23.0,57.4,30.0,0.03895083892924933,1
135,2013,Hero Motocorp Ltd.,3.0,4.0,4.0,6.0,0.0513249846516423,101125.0,20.37,29.0,39.92,29.0,0.013765116716143944,1
136,2010,Lyka Labs Ltd.,10.0,32.0,4.0,1.0,-0.2353158478019948,2385.4,0.47,34.0,23.3,29.0,-0.03349143694089157,-1
137,2010,Hindalco Industries Ltd.,16.0,20.0,7.0,5.0,0.4286871961102108,678.0,-3.91,30.0,30.37,28.0,-0.06823872483162191,-1
138,2016,J S W Steel Ltd.,9.0,27.0,9.0,3.0,0.4052904879367689,896250.0,4.32,22.0,41.56,28.0,-0.12504349052792413,-1
139,2012,Jindal Steel & Power Ltd.,21.0,7.0,4.0,6.0,0.1454387215681112,400671.9,4.31,33.0,59.02,28.0,-0.06928318511958692,-1
140,2013,Sanghvi Forging & Engg. Ltd.,3.0,36.0,3.0,1.0,0.2009609358679758,2028.8,-3.92,24.0,62.14,28.0,0.01988372548440731,1
141,2016,Dr. Reddy'S Laboratories Ltd.,7.0,12.0,7.0,6.0,-0.0555874036863941,167962.0,8.1,32.0,26.79,27.0,-0.02520129817506317,-1
142,2015,Hindustan Unilever Ltd.,12.0,9.0,7.0,25.0,-0.0617633329443342,2679.7,5.2,57.0,40.46,27.0,-0.10559373460024896,-1
144,2014,J S W Steel Ltd.,8.0,32.0,9.0,3.0,0.022271435709152,774610.2,2.64,20.0,39.59,27.0,-0.10925802953326186,-1
145,2015,J S W Steel Ltd.,8.0,37.0,9.0,3.0,-0.1963397522409223,821923.9,-5.08,21.0,41.45,27.0,-0.14253556733668077,-1
146,2012,Sanghvi Forging & Engg. Ltd.,3.0,24.0,3.0,1.0,-0.1075689783743475,1917.0,0.6,23.0,61.36,27.0,0.04794207666809791,1
147,2014,Sanghvi Forging & Engg. Ltd.,3.0,39.0,3.0,1.0,0.6381979474691251,2264.6,-3.7,25.0,65.39,27.0,-0.008537398272703944,-1
148,2011,Servalakshmi Paper Ltd.,3.0,30.0,7.0,1.0,-0.5854418908141812,3447.5,-16.91,6.0,52.01,27.0,-0.07025877235668126,-1
149,2012,Servalakshmi Paper Ltd.,3.0,30.0,7.0,1.0,2.275620846449808,3354.9,-13.33,7.0,52.01,27.0,-0.11288968134614225,-1
150,2013,Servalakshmi Paper Ltd.,3.0,30.0,7.0,1.0,0.2337960491190605,3535.8,-8.96,8.0,52.01,27.0,-0.04150026251738392,-1
151,2014,Servalakshmi Paper Ltd.,3.0,30.0,7.0,1.0,-0.1894499978363408,3618.2,-11.92,9.0,52.01,27.0,-0.04279440833402487,-1
152,2015,Servalakshmi Paper Ltd.,2.0,30.0,7.0,1.0,-0.7080241311195344,2935.3,-31.65,10.0,52.01,27.0,-0.12017794233675622,-1
153,2016,Servalakshmi Paper Ltd.,3.0,30.0,7.0,1.0,0.0,2935.3,-31.65,11.0,52.01,27.0,-0.0852006299786367,-1
154,2012,Suzlon Energy Ltd.,3.0,90.0,11.0,14.0,-0.7448090000130967,177319.8,-15.95,17.0,50.65,27.0,-0.17974867047562054,-1
155,2015,Dr. Reddy'S Laboratories Ltd.,7.0,14.0,9.0,6.0,0.0196158075669463,175852.0,7.52,31.0,25.57,26.0,-0.04725990536788416,-1
156,2016,Hindustan Unilever Ltd.,11.0,8.0,7.0,25.0,-0.0928822413632265,2594.9,2.67,58.0,40.46,26.0,-0.10372728426801442,-1
157,2011,J S W Steel Ltd.,9.0,9.0,6.0,3.0,0.3831968560610137,505919.8,3.52,17.0,37.71,26.0,-0.08001876450774764,-1
158,2011,Sanghvi Forging & Engg. Ltd.,4.0,23.0,3.0,1.0,0.2428174235403148,1340.5,5.01,22.0,56.77,26.0,0.05200965817594311,1
159,2011,Suzlon Energy Ltd.,4.0,50.0,8.0,14.0,0.5766290557189595,206630.3,-2.6,16.0,52.76,26.0,-0.12264253284296339,-1
160,2013,Eicher Motors Ltd.,3.0,7.0,3.0,2.0,0.0841791044776119,476.9,3.96,32.0,58.83,25.0,0.08330465336929788,1
161,2010,Nestle India Ltd.,5.0,1.0,7.0,7.0,0.2198127504734748,26105.7,35.2,51.0,62.76,25.0,-0.021138828638486873,-1
162,2012,Eicher Motors Ltd.,2.0,7.0,4.0,2.0,0.2780405920952236,421.8,6.0,31.0,57.91,24.0,0.060229532401278874,1
163,2015,S K F India Ltd.,7.0,22.0,5.0,3.0,0.2591300220956649,21683.4,12.53,54.0,53.58,24.0,0.034478480937856826,1
164,2013,Suzlon Energy Ltd.,3.0,95.0,11.0,14.0,0.7476150016821865,186572.1,-17.03,18.0,40.34,24.0,-0.19740976098417246,-1
165,2016,Vedanta Ltd.,11.0,10.0,5.0,9.0,0.0597705200160878,1720010.0,5.44,51.0,62.86,24.0,-0.10808262303628396,-1
166,2011,Videocon Industries Ltd.,7.0,4.0,8.0,3.0,-0.1196830456400377,320366.4,1.86,25.0,68.24,24.0,-0.02304926509847205,-1
167,2012,Videocon Industries Ltd.,4.0,4.0,7.0,3.0,0.4532624016310267,370603.6,-0.42,26.0,67.83,24.0,-0.04098583786112436,-1
168,2016,Cipla Ltd.,17.0,9.0,4.0,8.0,-0.0943095750272503,162310.9,7.88,81.0,37.49,23.0,-0.06545691436837814,-1
169,2012,Dr. Reddy'S Laboratories Ltd.,4.0,99.0,8.0,6.0,0.2381050706468834,137652.0,9.93,28.0,25.56,23.0,-0.1197674930785611,-1
170,2013,Dr. Reddy'S Laboratories Ltd.,4.0,95.0,8.0,6.0,0.1686083911085698,167676.0,12.39,29.0,25.52,23.0,-0.11619222860525308,-1
171,2016,Escorts Ltd.,5.0,16.0,2.0,2.0,0.2119235520674369,36853.4,5.1,72.0,42.99,23.0,0.03939564597118683,1
172,2016,S K F India Ltd.,7.0,24.0,4.0,3.0,-0.1209878984296073,23234.2,10.83,55.0,53.58,23.0,0.039716467783798726,1
173,2014,Vedanta Ltd.,17.0,9.0,5.0,9.0,0.1414788813495913,815243.3,2.28,49.0,59.53,23.0,-0.09397680099888489,-1
174,2015,Vedanta Ltd.,18.0,10.0,5.0,9.0,0.1070735210671283,1831920.9,10.13,50.0,62.86,23.0,-0.14406636296718062,-1
175,2015,Aurobindo Pharma Ltd.,8.0,21.0,3.0,10.0,0.128888942706473,128857.5,14.05,29.0,53.9,22.0,0.007209642270987748,1
176,2016,C G Power & Indl. Solutions Ltd.,12.0,123.0,4.0,8.0,0.1237064053948031,75541.1,3.36,79.0,34.42,22.0,-0.09797320202250298,-1
177,2014,Dr. Reddy'S Laboratories Ltd.,4.0,95.0,8.0,6.0,0.0289398572884811,191779.0,9.41,30.0,25.49,22.0,-0.11432853652970204,-1
178,2016,Force Motors Ltd.,6.0,4.0,4.0,3.0,0.0124079313557017,27219.3,7.12,58.0,61.06,22.0,0.07154516050204013,1
179,2011,Jindal Steel & Power Ltd.,19.0,3.0,5.0,5.0,0.4092201774787616,336754.0,6.93,32.0,58.58,22.0,-0.05881733355684132,-1
180,2014,S K F India Ltd.,4.0,13.0,5.0,3.0,0.050913699358162,19351.9,11.27,53.0,53.58,22.0,0.05989266134417881,1
182,2010,Videocon Industries Ltd.,6.0,4.0,7.0,3.0,0.564386271794757,229143.3,3.63,24.0,66.74,22.0,-0.014336543699564663,-1
183,2014,Aurobindo Pharma Ltd.,7.0,17.0,4.0,10.0,0.1359537934819539,102704.5,16.07,28.0,54.06,21.0,0.016682354749527506,1
184,2011,Brooks Laboratories Ltd.,1.0,12.0,3.0,1.0,0.0673772363913207,1067.9,12.28,9.0,60.77,21.0,0.022568149311029406,1
185,2012,Brooks Laboratories Ltd.,1.0,12.0,3.0,1.0,0.4284950071326678,1316.6,6.16,10.0,60.77,21.0,0.017544556591322202,1
186,2013,Brooks Laboratories Ltd.,1.0,12.0,3.0,1.0,0.0644114342778678,1324.6,5.63,11.0,60.62,21.0,0.03429483870048283,1
187,2014,Brooks Laboratories Ltd.,1.0,11.0,3.0,1.0,-0.0007036472381846,1358.1,5.13,12.0,60.62,21.0,0.03429483870048283,1
188,2015,Brooks Laboratories Ltd.,1.0,12.0,3.0,1.0,-0.0610257012087782,1528.3,7.22,13.0,60.62,21.0,0.028718293552692564,1
189,2016,Brooks Laboratories Ltd.,2.0,12.0,3.0,2.0,-0.1896012998375204,1740.3,1.05,14.0,60.62,21.0,0.04267590150949796,1
190,2012,Cadila Healthcare Ltd.,6.0,12.0,5.0,4.0,0.1262648322049937,58116.0,9.27,17.0,74.79,21.0,0.013451583453724825,1
192,2013,Ujaas Energy Ltd.,5.0,49.0,2.0,8.0,1.1399048045238196,5187.8,9.56,14.0,70.69,21.0,-0.08277142733945325,-1
193,2014,Ujaas Energy Ltd.,5.0,53.0,2.0,8.0,-0.7936351019942587,4134.9,2.52,15.0,70.69,21.0,-0.07205577370326138,-1
194,2013,Aurobindo Pharma Ltd.,7.0,14.0,5.0,10.0,0.3053182511895143,86088.8,14.77,27.0,54.73,20.0,0.012533189449644766,1
195,2014,Cadila Healthcare Ltd.,6.0,10.0,5.0,4.0,0.3468685664752411,77256.0,17.83,19.0,74.79,20.0,-0.0030373820656418027,-1
196,2015,Cipla Ltd.,17.0,9.0,5.0,8.0,0.1849216692951263,157306.0,8.81,80.0,37.57,20.0,-0.06060890497746935,-1
197,2012,Eimco Elecon (India) Ltd.,7.0,4.0,2.0,1.0,0.5897218977023997,10297.8,15.94,30.0,55.19,20.0,0.06941867936794488,1
198,2014,Force Motors Ltd.,5.0,1.0,4.0,1.0,0.1413294425610436,20588.9,5.09,56.0,59.36,20.0,0.06849597149874881,1
